name,sat_id,signal_strength,latitude,longitude
NUSAT-49(K.VON NEUMANN),60500,94.1,-34.6,-58.4
NUSAT-48 (H. LEAVITT),60498,94,-31.4,-64.2
NUSAT-50 (NANCY ROMAN),60493,94.1,-38.7,-62.2
NUSAT-44 MARIA MITCHELL,59122,94.1,-27.5,-58.0
MDQUBESAT-2,58665,93.7,-33.0,-60.0
NUSAT-43 (R DIENG-KUNTZ),56968,92.7,-41.2,-71.0
NUSAT-42 (M WONENBURGER),56966,93.9,-29.9,-64.8
NUSAT-40 (C SHOEMAKER),56943,93.1,-34.9,-57.8
NUSAT-37 (JOAN CLARKE),56203,93.5,-40.3,-70.5
NUSAT-38 (MARIA AGNESI),56202,93.4,-31.0,-68.2
NUSAT-39 (TIKVAH ALPER),56201,93.5,-35.7,-60.5
NUSAT-32 (ALBANIA-1),55064,92,-45.9,-69.2
NUSAT-35 (WILLIAMINA),55048,94.1,-38.2,-62.0
NUSAT-33 (ALBANIA-2),55047,94.3,-32.7,-60.9
NUSAT-34 (AMELIA EARHART),55045,94.4,-30.5,-67.5
NUSAT-29 (EDITH CLARKE),52764,91.2,-36.0,-61.0
NUSAT-31 (RUBY PAYNE-S),52752,92.5,-28.5,-63.3
NUSAT-28 (ALICE LEE),52747,92.4,-33.5,-60.0
NUSAT-26 (M SOMERVILLE),52184,93.9,-29.7,-65.2
NUSAT-25 (MARIA TELKES),52171,91.5,-42.0,-71.5
SAOCOM 1-B,46265,97.2,-36.7,-64.2
SAOCOM 1-A,43641,97.2,-34.8,-58.4
ARSAT 2,40941,1436.1,-34.6,-58.4
ARSAT 1,40272,1436.1,-34.6,-58.4
BUGSAT 1,40014,95.2,-32.9,-60.7
CUBEBUG 2,39440,96.6,-31.5,-63.2
CUBEBUG 1,39153,96.3,-39.1,-67.5
SAC-D (AQUARIUS),37673,97.4,-35.0,-61.0
LATINSAT A,27612,97,-33.0,-58.5
LATINSAT B,27606,97.5,-34.0,-60.0
SAC C,26620,98.5,-36.5,-64.0
NAHUEL 1A,24714,1449,-34.5,-58.3
OSCAR 19 (LUSAT),20442,100.4,-32.8,-60.5
NAHUEL I1 (ANIK C1),15642,1444.9,-34.7,-58.6
NAHUEL I2 (ANIK C2),14133,1452.7,-34.9,-58.4
