x,y,density
524.18,394.62,412.47
505.93,367.58,438.60
462.47,403.52,388.13
489.30,415.84,360.66
532.16,373.42,404.21
455.28,384.13,417.06
499.85,407.93,392.64
473.70,376.15,436.28
516.14,398.97,381.03
492.81,418.21,350.54
468.53,390.67,409.83
530.09,377.44,426.12
488.62,400.89,379.14
514.37,384.70,421.55
480.02,364.28,403.27
525.96,410.48,389.33
496.72,386.29,417.78
511.30,395.04,380.59
465.43,369.71,398.23
487.17,406.66,382.91
526.42,392.53,418.42
508.56,379.46,390.12
479.80,408.27,423.59
470.93,374.11,400.06
529.05,403.84,375.92
458.33,397.22,392.46
483.44,372.16,420.91
507.81,388.34,394.85
461.09,366.88,410.70
523.22,400.44,386.53
530.15,371.59,429.80
494.84,411.21,385.64
487.71,373.02,395.10
518.03,389.25,424.02
463.60,381.16,402.17
477.29,392.04,386.78
526.17,404.63,380.35
489.68,368.43,417.60
496.31,396.52,389.81
472.50,378.29,426.73
507.09,409.80,362.94
528.88,397.51,403.84
467.75,365.48,392.04
480.99,389.97,417.05
520.14,400.32,379.73
458.66,370.45,408.63
503.24,384.09,394.51
469.82,408.64,382.50
517.48,378.42,422.06
493.77,410.98,401.12
531.53,392.70,428.60
486.25,380.88,396.77
502.10,399.47,413.84
474.60,367.92,390.21
519.33,403.05,428.90
482.41,387.06,402.63
507.67,395.88,419.02
465.97,372.35,384.92
530.44,410.17,401.48
489.90,384.26,422.51
518.67,397.42,391.17
477.85,369.14,408.69
503.88,405.12,377.96
467.44,386.50,419.38
521.27,394.83,387.56
490.56,402.11,412.27
532.99,380.42,428.17
475.18,373.60,399.44
505.31,388.78,419.70
462.70,366.92,386.45
519.87,400.05,402.84
488.09,394.29,391.63
511.92,378.57,420.12
468.88,383.74,395.28
526.63,406.12,413.51
479.02,370.48,387.90
502.55,399.85,424.60
460.17,367.66,392.14
525.48,394.11,406.72
491.84,388.03,381.79
510.21,401.92,418.37
473.36,376.91,400.19
529.66,402.18,425.60
486.91,384.67,392.83
504.78,396.73,413.44
462.01,369.49,401.26
518.11,402.47,387.51
478.35,382.20,417.02
507.42,390.95,394.26
464.49,373.88,408.37
526.98,404.77,378.64
489.41,366.59,421.53
512.67,395.36,389.71
471.08,380.22,403.96
530.21,408.34,419.88
485.27,392.47,386.24
506.84,385.15,414.11
468.19,369.81,398.53
519.58,399.12,428.19
480.44,378.59,392.98
511.05,407.46,403.86
463.02,367.17,418.57
525.71,393.88,384.49
492.16,396.51,421.32
476.25,371.09,390.84
508.59,401.74,402.67
465.81,380.12,394.20
517.72,389.64,427.03
471.67,374.28,400.77
528.41,406.88,381.52
487.53,392.74,414.96
503.99,398.16,389.42
460.48,368.22,420.65
520.89,395.83,386.75
478.11,383.69,410.42
505.63,387.92,399.19
467.18,371.04,418.02
526.02,402.33,387.25
490.30,396.15,412.48
512.88,379.91,421.66
473.83,377.59,391.32
529.34,401.12,405.77
486.12,384.95,390.61
506.21,393.48,417.93
463.87,369.37,386.84
518.77,400.67,424.15
480.73,382.26,390.37
510.49,395.15,402.89
464.95,373.61,419.41
527.45,407.39,381.04
488.48,392.82,414.27
503.12,398.95,389.78
461.36,368.89,420.01
520.41,394.59,387.93
479.19,380.74,417.24
507.14,389.87,395.63
466.08,372.74,409.87
525.26,404.06,383.14
491.77,386.53,421.06
511.66,401.38,388.96
474.55,378.48,402.63
529.87,405.77,426.19
485.88,391.69,387.72
504.33,395.22,413.21
462.62,367.51,400.48
518.22,399.81,386.55
481.46,382.58,417.77
506.11,388.92,394.92
465.72,371.11,409.22
526.79,403.88,380.44
489.92,395.13,412.83
